[2025-11-16 01:20:35] [INFO] | MEM: 6.31MB | Message: Employee Excel Import started | Data: {"file":"phpF7D8.tmp","rows":243}
[2025-11-16 02:15:41] [INFO] | MEM: 0.63MB | Message: CSV Progress | Data: {"rows":210000}
[2025-11-16 02:15:57] [INFO] | MEM: 0.63MB | Message: CSV Progress | Data: {"rows":220000}
[2025-11-16 02:16:13] [INFO] | MEM: 0.63MB | Message: CSV Progress | Data: {"rows":230000}
[2025-11-16 02:16:29] [INFO] | MEM: 0.63MB | Message: CSV Progress | Data: {"rows":240000}
[2025-11-16 02:16:45] [SUCCESS] | MEM: 0.97MB | Message: CSV Import completed | Data: {"rows":249693,"errors":0,"time_sec":228.44}
[2025-11-16 02:16:45] [SUCCESS] | MEM: 0.61MB | Message: Order import success | Data: {"format":"csv"}
[2025-11-16 02:17:04] [INFO] | MEM: 0.92MB | Message: Report generated | Data: {"thang":"2025-11","khoang":"2025-11-01 ~ 2025-11-30","ket_qua_chung":"100.00%","ty_le_nghi_van":"150.00%","tong_nghi_van":0,"top_threshold":0}
[2025-11-16 02:17:28] [INFO] | MEM: 1.06MB | Message: Report generated | Data: {"thang":"2025-10","khoang":"2025-11-27 ~ 2025-10-31","ket_qua_chung":"0.00%","ty_le_nghi_van":"0.00%","tong_nghi_van":236,"top_threshold":20}
[2025-11-16 02:17:30] [INFO] | MEM: 1.06MB | Message: Report generated | Data: {"thang":"2025-10","khoang":"2025-11-27 ~ 2025-10-31","ket_qua_chung":"0.00%","ty_le_nghi_van":"0.00%","tong_nghi_van":236,"top_threshold":20}
[2025-11-16 02:17:58] [INFO] | MEM: 1.07MB | Message: Report generated | Data: {"thang":"2025-10","khoang":"2025-10-28 ~ 2025-10-31","ket_qua_chung":"13.75%","ty_le_nghi_van":"20.62%","tong_nghi_van":43,"top_threshold":20}
[2025-11-16 02:18:26] [INFO] | MEM: 1.07MB | Message: Report generated | Data: {"thang":"2025-10","khoang":"2025-10-28 ~ 2025-10-31","ket_qua_chung":"13.75%","ty_le_nghi_van":"20.62%","tong_nghi_van":43,"top_threshold":20}
[2025-11-16 02:18:53] [INFO] | MEM: 1.07MB | Message: Report generated | Data: {"thang":"2025-10","khoang":"2025-10-12 ~ 2025-10-14","ket_qua_chung":"9.06%","ty_le_nghi_van":"13.59%","tong_nghi_van":30,"top_threshold":20}
